http://dbpedia.org/ontology/NationalFootballLeagueEvent	national football league event	
http://dbpedia.org/ontology/MetroStation	subway station	
http://dbpedia.org/ontology/Station	station	
http://dbpedia.org/ontology/Olympics	olympics	
http://dbpedia.org/ontology/PrehistoricalPeriod	prehistorical period	
http://dbpedia.org/ontology/HistoricalPeriod	historical period	
http://dbpedia.org/ontology/Brewery	brewery	
http://dbpedia.org/ontology/CapitalOfRegion	Capital of region	
http://dbpedia.org/ontology/ComedyGroup	Comedy Group	
http://dbpedia.org/ontology/AthleticsPlayer	athletics player	
http://dbpedia.org/ontology/NuclearPowerStation	Nuclear Power plant	
http://dbpedia.org/ontology/Deanery	deanery	
http://dbpedia.org/ontology/Media	media	
http://dbpedia.org/ontology/GrandPrix	Grand Prix	
http://dbpedia.org/ontology/Rocket	rocket	
http://dbpedia.org/ontology/Blazon	Blazon	
http://dbpedia.org/ontology/GolfPlayer	golf player	
http://dbpedia.org/ontology/BowlingLeague	bowling league	
http://dbpedia.org/ontology/PublicServiceInput	public service input	
http://dbpedia.org/ontology/Altitude	altitude	
http://dbpedia.org/ontology/Cartoon	cartoon	
http://dbpedia.org/ontology/GeologicalPeriod	geological period	
http://dbpedia.org/ontology/OldTerritory	old territory	
http://dbpedia.org/ontology/CollectionOfValuables	collection of valuables	
http://dbpedia.org/ontology/MovieGenre	movie genre	
http://dbpedia.org/ontology/GolfLeague	golf league	
http://dbpedia.org/ontology/CareerStation	career station	
http://dbpedia.org/ontology/Group	group	
http://dbpedia.org/ontology/ClericalOrder	clerical order	
http://dbpedia.org/ontology/WindMotor	Wind motor	
http://dbpedia.org/ontology/LifeCycleEvent	life cycle event	
http://dbpedia.org/ontology/NoteworthyPartOfBuilding	Noteworthy part of a building (facade, chimney, etc.)	
http://dbpedia.org/ontology/RugbyPlayer	rugby player	
http://dbpedia.org/ontology/Globularswarm	Globular Swarm	
http://dbpedia.org/ontology/PoliticalFunction	political function	
http://dbpedia.org/ontology/Port	Port	
http://dbpedia.org/ontology/RailwayLine	σιδηρόδρομος	
http://dbpedia.org/ontology/RailwayTunnel	σιδηροδρομική σήραγγα	
http://dbpedia.org/ontology/Senator	senator	
http://dbpedia.org/ontology/Diploma	diploma	
http://dbpedia.org/ontology/Archipelago	archipelago	
http://dbpedia.org/ontology/Synagogue	synagog	
http://dbpedia.org/ontology/FootballLeagueSeason	football league season	
http://dbpedia.org/ontology/FormerMunicipality	one-time municipality	
http://dbpedia.org/ontology/HollywoodCartoon	hollywood cartoon	
http://dbpedia.org/ontology/NCAATeamSeason	national collegiate athletic association team season	
http://dbpedia.org/ontology/EurovisionSongContestEntry	Eurovision song contest entry	
http://dbpedia.org/ontology/AmateurBoxer	amateur boxer	
http://dbpedia.org/ontology/BrownDwarf	brown dwarf	
http://dbpedia.org/ontology/Bone	bone	
http://dbpedia.org/ontology/BoxingStyle	boxing style	
http://dbpedia.org/ontology/HorseRiding	HorseRiding	
http://dbpedia.org/ontology/Convention	convention	
http://dbpedia.org/ontology/DocumentType	Document Type	
http://dbpedia.org/ontology/OlympicResult	olympic result	
http://dbpedia.org/ontology/SportsTeamMember	Sports team member	
http://dbpedia.org/ontology/MilitaryUnit	military unit	
http://dbpedia.org/ontology/AnimangaCharacter	animanga character	
http://dbpedia.org/ontology/SoccerTournament	soccer tournoment	
http://dbpedia.org/ontology/Disease	disease	
http://dbpedia.org/ontology/HistoricBuilding	historic building	
http://dbpedia.org/ontology/Imdb	Imdb	
http://dbpedia.org/ontology/GeopoliticalOrganisation	geopolitical organisation	
http://dbpedia.org/ontology/MouseGene	MouseGene	
http://dbpedia.org/ontology/GrossDomesticProductPerCapita	gross domestic product per capita	
http://dbpedia.org/ontology/ElectionDiagram	Election Diagram	
http://dbpedia.org/ontology/StillImage	still image	
http://dbpedia.org/ontology/Image	image	
http://dbpedia.org/ontology/GaelicGamesPlayer	Gaelic games player	
http://dbpedia.org/ontology/ClassicalMusicArtist	classical music artist	
http://dbpedia.org/ontology/Professor	professor	
http://dbpedia.org/ontology/HistoricalProvince	Historical province	
http://dbpedia.org/ontology/PoliticianSpouse	politician spouse	
http://dbpedia.org/ontology/ClubMoss	club moss	
http://dbpedia.org/ontology/ClassicalMusicComposition	classical music composition	
http://dbpedia.org/ontology/OlympicEvent	olympic event	
http://dbpedia.org/ontology/ArtistDiscography	artist discography	
http://dbpedia.org/ontology/Abbey	abbey	修道院
http://dbpedia.org/ontology/FormulaOneRacing	formula one racing	
http://dbpedia.org/ontology/PeriodOfArtisticStyle	period of artistic style	
http://dbpedia.org/ontology/OverseasDepartment	overseas department	
http://dbpedia.org/ontology/AustralianFootballTeam	australian football team	
http://dbpedia.org/ontology/Intercommunality	Intercommunality	
http://dbpedia.org/ontology/BroadcastNetwork	broadcast network	
http://dbpedia.org/ontology/HockeyTeam	hockey team	
http://dbpedia.org/ontology/Decoration	decoration	
http://dbpedia.org/ontology/WrestlingEvent	wrestling event	
http://dbpedia.org/ontology/CyclingRace	cycling race	
http://dbpedia.org/ontology/TrackList	track list	
http://dbpedia.org/ontology/HandballTeam	handball team	
http://dbpedia.org/ontology/Lymph	lymph	
http://dbpedia.org/ontology/Locality	Locality	
